Archive Id Code,Artefact Code,Box Number,YEAR yyyy,MONTH mm,DAY dd,HOUR,MIN,Continent,Country,State,City,Place/Center,Location,Subject,Tagged Persons,Event,Description,Credit,Photograper,Comments,HAT Selection,Team Selection,Final Selection,Determined
1978_PHT_0034_01,PHT4_AL_401_001.TIF,1978_PHT_BOX_01,1978,00,00,,,Asia,India,,,,,Babuji,,,Babuji Sitting.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1973_PHT_0079_01,PHT4_AL_401_002.TIF,1973_PHT_BOX_01,1973,02,00,,,Asia,India,Tamil Nadu,Chennai,Mylapore,Rajeswari Kalyana Mandapam,,,Lalaji birth centenary celebration,Invitation card of Birth Centenary Celebration of Lalaji Maharaj.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1977_PHT_0008_01,PHT4_AL_401_003.TIF,1977_PHT_BOX_01,1977,00,00,,,Asia,India,Uttar Pradesh,Shahjahanpur,Shahjahanpur,Babuji's house,Babuji,,,Babuji with his hookah.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1977_PHT_0044_01,PHT4_AL_401_004.TIF,1977_PHT_BOX_01,1977,00,00,,,Asia,India,Tamil Nadu,Madurai,Madurai,,Babuji,,78th Birthday Celebration of Babuji,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1977_PHT_0045_01,PHT4_AL_401_005.TIF,1977_PHT_BOX_01,1977,00,00,,,Asia,India,Tamil Nadu,Madurai,Madurai,,Babuji,,79th Birthday Celebration of Babuji,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1972_PHT_0016_01,PHT4_AL_401_006.TIF,1972_PHT_BOX_01,1972,00,00,,,Asia,India,,,,,Babuji,,,Babuji with a garland and a white cap.,,"G K Khan photographers, Mumbai.",,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1972_PHT_0040_01,PHT4_AL_401_007.TIF,1972_PHT_BOX_01,1972,00,00,,,Europe,Denmark,Copenhagen,Copenhagen,Copenhagen,,Babuji,,Europe tour,Babuji talking to abhyasis with his hand gesture.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1977_PHT_0009_01,PHT4_AL_401_008.TIF,1977_PHT_BOX_01,1977,00,00,,,Asia,India,Uttar Pradesh,Shahjahanpur,Shahjahanpur,Babuji's house,Babuji,,,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1977_PHT_0041_01,PHT4_AL_401_010.TIF,1977_PHT_BOX_01,1977,00,00,,,Asia,India,,,,,Babuji,,,Babuji smiling with hookah.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1972_PHT_0005_01,PHT4_AL_401_011.TIF,1972_PHT_BOX_01,1972,00,00,,,Asia,India,,,,,Babuji,,,Babuji only.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1980_PHT_0069_01,PHT4_AL_401_012.TIF,1980_PHT_BOX_01,1980,00,00,,,Asia,India,,,,,Babuji,,,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1971_PHT_0001_01,PHT4_AL_401_014.TIF,1971_PHT_BOX_01,1971,00,00,,,Asia,India,,,,,Babuji,,,Babuji's bust size photo.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1978_PHT_0042_02,PHT4_AL_401_015.TIF,1978_PHT_BOX_01,1978,00,00,,,Asia,India,,,,,Babuji,,,Babuji's bust size photo.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1978_PHT_0043_01,PHT4_AL_401_016.TIF,1978_PHT_BOX_01,1978,00,00,,,Asia,India,,,,,Babuji,,,Babuji's bust size photo.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1978_PHT_0041_01,PHT4_AL_401_017.TIF,1978_PHT_BOX_01,1978,00,00,,,Asia,India,,,,,Babuji,,,Babuji's bust size photo.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1976_PHT_0017_01,PHT4_AL_401_018.TIF,1976_PHT_BOX_01,1976,00,00,,,Asia,India,,,,,Babuji,,,Babuji's bust size photo.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1972_PHT_0003_01,PHT4_AL_401_019.TIF,1972_PHT_BOX_01,1972,00,00,,,Asia,India,,,,,Babuji,,,Babuji sitting.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1970_PHT_0015_01,PHT4_AL_401_020.TIF,1970_PHT_BOX_01,1970,00,00,,,Asia,India,,,,,Babuji,Others,,Babuji with Ishwar Chand Sahaiji.,,"Jean-Marie Bottequin, Munich.",,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1968_PHT_0026_01,PHT4_AL_401_021.TIF,1968_PHT_BOX_01,1968,00,00,,,Asia,India,,,,,Babuji,Others,,Babuji taking leave from abhyasis at the railway station.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1969_PHT_0029_01,PHT4_AL_401_023.TIF,1969_PHT_BOX_01,1969,00,00,,,Asia,India,,,,,,Shri Ishwar Sahai,,Photo of Shri Ishwar Sahai.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1969_PHT_0030_01,PHT4_AL_401_024.TIF,1969_PHT_BOX_01,1969,00,00,,,Asia,India,,,,,Babuji,,,Babuji's bust size photo.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1968_PHT_0017_01,PHT4_AL_401_025.TIF,1968_PHT_BOX_01,1968,00,00,,,Asia,India,,,Tiruchy,,Babuji,,,Babuji only.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1972_PHT_0004_01,PHT4_AL_401_026.TIF,1972_PHT_BOX_01,1972,00,00,,,Asia,India,,,,,Babuji,,,Babuji's bust size photo.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1968_PHT_0016_01,PHT4_AL_401_027.TIF,1968_PHT_BOX_01,1968,00,00,,,Asia,India,,,Tiruchy,,Babuji,,,Babuji smiling,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1975_PHT_0028_01,PHT4_AL_401_028.TIF,1975_PHT_BOX_01,1975,00,00,,,Asia,India,Tamilnadu,Chennai,,,Babuji,,Gayathri,Babuji only.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1980_PHT_0068_01,PHT4_AL_401_029.TIF,1980_PHT_BOX_01,1980,00,00,,,Asia,India,,,,,Babuji,,,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1969_PHT_0004_01,PHT4_AL_401_030.TIF,1969_PHT_BOX_01,1969,00,00,,,Asia,India,,,,,Babuji,,,Babuji with garland.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1976_PHT_0038_01,PHT4_AL_401_031.TIF,1976_PHT_BOX_01,1976,06,0,,,Europe,Italy,Rome,Vatican City,Tiruchi,,Babuji,Chariji,,Babuji with Chariji.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1968_PHT_0033_01,PHT4_AL_401_032.TIF,1968_PHT_BOX_01,1968,12,23,,,Asia,India,Tamil Nadu,Tiruchy,,Rotary Club,Babuji,,,Babuji sitting.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1969_PHT_0027_01,PHT4_AL_401_033.TIF,1969_PHT_BOX_01,0000,00,00,,,Asia,India,,,,,Babuji,,,Babuji only.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1969_PHT_0028_01,PHT4_AL_401_034.TIF,1969_PHT_BOX_01,0000,00,00,,,Asia,India,,,,,Babuji,,,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1969_PHT_0036_01,PHT4_AL_401_035.TIF,1969_PHT_BOX_01,0000,00,00,,,Asia,India,,,,,Babuji,,,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1968_PHT_0027_01,PHT4_AL_401_036.TIF,1968_PHT_BOX_01,1968,12,00,,,Asia,India,Tamil Nadu,,,Trip in South India,Babuji,,,Babuji sitting,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1969_PHT_0035_01,PHT4_AL_401_037.TIF,1969_PHT_BOX_01,0000,00,00,,,Asia,India,,,,,Babuji,,,Babuji sitting,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1980_PHT_0077_01,PHT4_AL_401_038.TIF,1980_PHT_BOX_01,1980,04,30,,,Asia,India,Delhi,Delhi,,Delhi,Babuji,,Babuji's Birthday celebration,Babuji with Chariji.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1960_PHT_0017_01,PHT4_AL_401_039.TIF,1960_PHT_BOX_01,1960,00,00,,,Asia,India,,,,,Babuji,,,Babuji face only -side pose.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
1960_PHT_0018_01,PHT4_AL_401_040.TIF,1960_PHT_BOX_01,1960,00,00,,,Asia,India,,,,,Babuji,,,Babuji sitting in a chair.,,,,HAT:yes,HAT:yes,HAT:yes,TBD:DP
